Lab number,Field number,Material dated,Taxa dated,Type of date,Locality,Map sheet,Elevation (m ASL),Submitter,Date submitted,Collector,Date collected,Updater,Date updated,Measured age,MA Sigma,Normalized age,NA Sigma,Delta 13C (per mil),Delta 13C Source,Significance,Site identifier,Site name,Latitude,Longitude,Stratigraphic component,Context,Associated taxa,Additional information,Comments,References
GaK-1561,,plant remains; restes de plantes,grass; reeds,,Box Elder County; Utah,a,,C.M. Aikens,,,,,,1530,80,1530,80,-25,,Fremont,42BO36,Hogup Cave,,,Stratum 12,stratum 12; square 100L75; center of layer (FS 46),,,,Marwitt and Fry; 1973; Aikens; 1970; Swanson and Muto; 1975: 54; Faunmap 1048
GaK-1578,,animal remains; restes d'animaux,unidentified leather (Cat. No. 10244),,Box Elder County; Utah,a,,,,,,,,320,80,350,80,-23,,Fremont; anomalous; young; anormal; jeune,42BO-?,Beatty Springs,,,,Layer 2,,,,Marwitt and Fry; 1973; Wylie; 1974
GaK-1579,,plant remains; restes de plantes,reed matting (Cat. No. 10459),,Box Elder County; Utah,a,,,,,,,,1310,70,1310,70,-25,,Fremont,42BO-?,Beatty Springs,,,,Layer 2,,,,Marwitt and Fry; 1973; Wylie; 1974
GaK-2078,,plant remains; restes de plantes,wood; bark; feces,,Box Elder County; Utah,a,,C.M. Aikens,,,,,,1210,100,1210,100,-25,,Fremont,42BO36,Hogup Cave,,,Stratum 14,stratum 14; square 110L90 (FS 545),,,,Marwitt and Fry; 1973; Aikens; 1970; Swanson and Muto; 1975: 54; Faunmap 1994: 1048
GaK-2080,,plant remains; restes de plantes,wood; bark; feces,,Box Elder County; Utah,a,,C.M. Aikens,,,,,,620,70,620,70,-25,,Fremont,42BO36,Hogup Cave,,,Stratum 14,stratum 14; square 110L100 (FS 569),,,,Marwitt and Fry; 1973; Aikens; 1970; Swanson and Muto; 1975: 54; Faunmap 1048
GX-1562,,charred plant remains; restes de plantes carbonisés,seeds,,Box Elder County; Utah,a,,W.F. Shields,,,,,,1450,110,1450,110,-25,,Fremont,42BO-?,Beatty Springs,,,,structure 7,,,,Marwitt and Fry; 1973; Shields and Dalley; 1978; Faunmap 1450
GX-359,,bison bone collagen; collagène osseux de bison,Bison sp.,,Box Elder County; Utah,a,,F.W. Sharrock,,,,,1999-07-07,1065,120,1145,120,-20,,Fremont,42BO-?,Beatty Springs,,,,shallow pit at a buffalo butchering site,,,,Marwitt and Fry; 1973; Krueger and Weeks; 1966: 152; Aikens; 1966; Faunmap 1461
GX-551,,animal remains; restes d'animaux,unidentified leather,,Box Elder County; Utah,a,,,,,,,,840,75,870,75,-23,,Fremont,42BO-?,Beatty Springs,,,,Layer 2,,,,Marwitt and Fry; 1973; Wylie; 1974
GX-732,,charred wood; bois carbonisé,,,Box Elder County; Utah,a,,C.M. Aikens,,,,,,995,105,995,105,-25,,Fremont,42BO57,Bear River 2,,,,general occupation layer,,,,Marwitt and Fry; 1973; Aikens; 1967; Faunmap 1459
RL-19,,charcoal; charbon de bois,,,Box Elder County; Utah,a,,G.F. Fry,,,,,,640,110,640,110,-25,,Fremont,42BO-?,Beatty Springs,,,,structure 1,,,,Marwitt and Fry; 1973
