Lab number,Field number,Material dated,Taxa dated,Type of date,Locality,Map sheet,Elevation (m ASL),Submitter,Date submitted,Collector,Date collected,Updater,Date updated,Measured age,MA Sigma,Normalized age,NA Sigma,Delta 13C (per mil),Delta 13C Source,Significance,Site identifier,Site name,Latitude,Longitude,Stratigraphic component,Context,Associated taxa,Additional information,Comments,References
Beta-6286,,unknown; inconnu,,,Wasatch? County; Utah,c,,G.F. Dalley,,,,,,,,1190,50,,,Anasazi,42WS1349,Little Man Loc or Hurricane,,,,,,,,Lindsay; 1986
Beta-6287,,unknown; inconnu,,,Wasatch? County; Utah,c,,G.F. Dalley,,,,,,,,760,90,,,Anasazi,42WS1349,Little Man Loc or Hurricane,,,,,,,,Lindsay; 1986
Beta-6288,,unknown; inconnu,,,Wasatch? County; Utah,c,,G.F. Dalley,,,,,,,,1380,70,,,Anasazi,42WS503,Red Cliffs,,,,,,,,Lindsay; 1986
Beta-6289,,unknown; inconnu,,,Wasatch? County; Utah,c,,G.F. Dalley,,,,,,,,1120,50,,,Anasazi,42WS503,Red Cliffs,,,,,,,,Lindsay; 1986
Y-1349,,plant remains; restes de plantes,Juniperus sp. bark,,San Juan County; Utah,e,,W.D. Lipe,,,,,,250,60,250,60,-25,,Anasazi,42SA735,Cave,,,,lining of shallow cist; covered by 30 cm of eolian sand in a dry cave,,,,Stuiver; 1969: 617; Marwitt and Fry; 1973
GaK-2076,,feces; fèces,,,Box Elder County; Utah,a,,C.M. Aikens,,,,,,4490,100,4490,100,-25,,Archaic; anomalous; old; Archaïque; anormal; vieux,42BO36,Hogup Cave,,,Stratum 10,stratum 10; square 95L80 (FS 163),,,,Marwitt and Fry; 1973; Aikens; 1970; Swanson and Muto; 1975: 54; Faunmap 1048
GaK-1570,,bone collagen; collagène osseux,rabbit?,,Box Elder County; Utah,a,,C.M. Aikens,,,,,,3970,100,4050,100,-20,,Archaic; anomalous; young; Archaïque; anormal; jeune,42BO36,Hogup Cave,,,Stratum 2,stratum 2; square 90L95; entire square and thickness of layer (FS 247),,,,Marwitt and Fry; 1973; Aikens; 1970; Swanson and Muto; 1975: 54; Faunmap 1048
GX-1286,,charcoal; charbon de bois,,,Box Elder County; Utah,a,,C.M. Aikens,,,,,,6020,380,6020,380,,,Archaic; anomalous; young; Archaïque; anormal; jeune,42BO36,Hogup Cave,,,Stratum 3,stratum 3; square 100L95 (FS 180),,,,Marwitt and Fry; 1973; Benedict and Olson; 1978; Aikens; 1970; Swanson and Muto; 1975: 54; Faunmap 1048
Beta-8264,,human remains; restes humains,Homo sapiens tissue,,Glen Canyon; Kane County; Utah,u,,P.R. Nickens,,,,,,2420,100,2420,100,,,Basketmaker II,42KA2661,Rock Creek Alcove,,,,partially decomposed body parts of a Basketmaker II burial,,,,Geib; 1996
Beta-30568,,plant remains; restes de plantes,Oryzopsis hymenoides (grass),,Glen Canyon; Kane County; Utah,u,,P.R. Geib,,,,,,,,2320,80,,,Basketmaker II,42KA3384,Doughnut Alcove,,,,cache of three wooden tools wrapped in juniper bark mat and grass; placed in pit with no other evidence of alcove use,,,,Geib; 1996
Beta-47741,,plant remains; restes de plantes,Juniperus sp. bark,,Comb Wash; San Juan County; Utah,a,,P.R. Geib,,,,,,,,1790,90,-25,,Basketmaker II,42SA21153,Turkey Pen,,,,burial; feature 3; originating from unit 5,,,,Geib; 1996
Beta-52165,,plant remains; restes de plantes,Juniperus sp. bark,,Comb Wash; San Juan County; Utah,a,,P.R. Geib,,,,,,,,1870,70,-25,,Basketmaker II,42SA21153,Turkey Pen,,,,large hank of twisted bark found within a looted burial cist; unit 5,,,,Geib; 1996
Beta-74066,,cultigen; cultigène,Zea mays cob,,Comb Wash; San Juan County; Utah,a,,P.R. Geib,,,,,,,,1810,60,-10.5,,Basketmaker II,42SA21153,Turkey Pen,,,,one whole cob from a cache of cobs at the edge of a slab-lined storage cist originating from unit 5,,,,Geib; 1996
Beta-77874,,human remains; restes humains,Homo sapiens tissue,,Comb Wash; San Juan County; Utah,a,,P.R. Geib,,,,,,,,2320,50,-19.7,,Basketmaker II,42SA21153,Turkey Pen,,,,burial under a large roof spall; the pit cutting through early Archaic deposits into underlying sterile; originating from unit 5,,,,Geib; 1996
GX-2141,,charcoal; charbon de bois,,,Glen Canyon; San Juan County; Utah,a,,R.G. Matson,,,,,,,,1570,80,-25,,Basketmaker II,GG-69-18,Pittman,,,,pithouse,,,,Berry and Berry; 1986
GX-2142,,charcoal; charbon de bois,,,Glen Canyon; San Juan County; Utah,a,,R.G. Matson,,,,,,,,1708,80,-25,,Basketmaker II,GG-69-18,Pittman,,,,slab-lined hearth built in fill of Basketmaker II pithouse,,,,Berry and Berry; 1986; Geib; 1996
RL-175,,cultigen; cultigène,Zea mays cobs,,Emery County; Utah,a,,J.C. Winter,,,,,,1490,100,1740,100,-10,,Basketmaker II,42EM177,Clydes Cavern,,,,near surface of level 2,,,,Winter and Wylie; 1974; Faunmap 1529; Berry; 1985; Berry and Berry; 1976; 1986
RL-240,,charcoal; charbon de bois,,,San Juan County; Utah,a,,H.J. Hall,,,,,,,,2050,120,-25,,Basketmaker II,42SA-?,Dust Devil Cave (NA7613),,,,fire pit in a circular pithouse with no associated ceramics,,,,Berry and Berry; 1976; 1986
Tx-452,,charcoal; charbon de bois,,,7.5 miles northeast of the summit of Navajo Mountain; Rainbow Plateau; San Juan County; Utah,e,,A.J. Lindsay,,,,,1999-03-05,1820,80,1820,80,-25,,Basketmaker II,42SA-?,Dust Devil Cave (NA7613),,,,Hearth 3 of alcove outside cave proper; with no certain associations,,,,Geib; 1996; Berry and Berry; 1976; Valastro and Davis; 1970: 276
WSU-2750,,charcoal; charbon de bois,,,San Juan County; Utah,a,,R.G. Matson,,,,,,1860,45,1860,45,-25,,Basketmaker II,42SA21153,Turkey Pen,,,,stratum C,,,,Geib; 1996
WSU-2751,,charcoal; charbon de bois,,,San Juan County; Utah,a,,R.G. Matson,,,,,,1925,55,1925,55,-25,,Basketmaker II,42SA21153,Turkey Pen,,,,stratum A,,,,Geib; 1996
WSU-2759,,charcoal; charbon de bois,,,San Juan County; Utah,a,,R.G. Matson,,,,,,2065,50,2065,50,-25,,Basketmaker II,42SA21153,Turkey Pen,,,,stratum B,,,,Geib; 1996
WSU-3512,,cultigen; cultigène,Zea mays,,San Juan County; Utah,a,,R.G. Matson,,,,,,1730,60,1980,60,-10,,Basketmaker II,42SA21153,Turkey Pen,,,,near top of stratum A-6,,,,Geib; 1996
WSU-3513,,cultigen; cultigène,Zea mays,,San Juan County; Utah,a,,R.G. Matson,,,,,,1800,80,2050,80,-10,,Basketmaker II,42SA21153,Turkey Pen,,,,stratum C-4,,,,Geib; 1996
Y-1350,,charcoal; charbon de bois,,,San Juan County; Utah,e,,W.D. Lipe,,,,,,1700,80,1700,80,-25,,Basketmaker II,42SA363,Lone Tree Dune,,,,charred beam in fill of shallow slab-lined Basketmaker II pithouse with a slab-lined entrance,,,,Stuiver; 1969: 617; Geib; 1996; Marwitt and Fry; 1973
GX-2074,,charcoal; charbon de bois,,,Glen Canyon; San Juan County; Utah,a,,R.G. Matson,,,,,,,,1870,100,-25,,Basketmaker II; anomalous; old; anormal; vieux,GG-69-18,Pittman,,,,extramural hearth associated with pithouse,,,,Berry and Berry; 1986; Geib; 1996
GX-2072,,charcoal; charbon de bois,,,Glen Canyon; San Juan County; Utah,a,,R.G. Matson,,,,,,,,1655,80,-25,,Basketmater II,GG-69-1,Verres Pithouse,,,,burned superstructure of Basketmaker II pithouse,,,,Berry and Berry; 1986; Geib; 1996
